0,#,Account,Peer followers
182,182.,"Nicole Vincent@drcolekatphilosopher@UTS  | emerging technologies, futures, complexity, enhancement, neurolaw, feminism, gender, responsibility, compatibilism | idiopathic opinionsSydney, Australianicolevincent.netGoogle Scholar page13 years on TwitterRecent tweets: 17% new, 15% replies, 68% retweets, 1% quotesOn 91 user lists1,809 followers",151
183,183.,"Ellie Anderson@ellieanderphdAssistant  Professor of Philosophy at Pomona College | Co-host of @Overthink_pod. Phenomenology/poststructuralism, hermeneutic labor, feminist philosophy of lovepodcasts.apple.com/us/podcast/ove…Google Scholar page3 years on TwitterRecent tweets: 14% new, 63% replies, 21% retweets, 2% quotesOn 22 user lists2,392 followers",149
184,184.,"Kate Nave@KathrynNavePhD student trying to figure out what it means to be alive. Science & technology journalist: @WIREDUK @Aeonmag @Guardian @NewStatesman @theTimes @1843mag @GQkathryn.nave1 [at] gmail.comwired.co.uk/profile/kathry…Google Scholar page10 years on TwitterRecent tweets: 8% new, 14% replies, 72% retweets, 6% quotesOn 35 user lists1,320 followers",149
185,185.,"monstera adansonii@yournerdyfriendPhD candidate (she/her) Bioethics, Philosophy of Medicine, Sexual ethics. I hope this bio finds you well!6 years on TwitterOn 26 user lists4,344 followers",146
186,186.,"Shannon Dea@ShannonDea1Dean  of @UofRArts, philosophy prof, settler scholar on Treaty 4. Pedagogy, equity, academic freedom. Black and Indigenous Lives Matter. She/her, they/them.Treaty Four, Métis homelandinformedopinions.org/view-expert-pr…9 years on TwitterRecent tweets: 14% new, 41% replies, 29% retweets, 16% quotesOn 45 user lists1,847 followers",146
187,187.,"Emily Rose Ogland@er_oglandSoon-to-be  Social Worker ✷ Timeless Translator (🇫🇷) ✷ Permanent Philosopher ✷ Intrinsic INFJ ✷ Hereafter Hegelian ✷ Mawrter ('18), MoreoverUniversity of Leeds, England5 years on TwitterRecent tweets: 17% new, 9% replies, 70% retweets, 3% quotesOn 15 user lists1,196 followers",142
188,188.,"Dr. Veronica Ivy@SportIsARightSpeaker.  Author. Athlete rights expert. 2x World Masters F35-39 Champion. PhD. 🌈🦊 #SportIsAHumanRight PTSD survivor. Real estate professional.Milton, ONGoogle Scholar page11 years on TwitterRecent tweets: 12% new, 51% replies, 30% retweets, 7% quotesOn 108 user lists11,451 followers",141
189,189.,"Sera@schwarz_seherphilosophy & cogsci @HumboldtUni + @MindaBrain; person & poet manqué | they/sheBerlin, Deutschland5 years on TwitterRecent tweets: 15% new, 73% replies, 8% retweets, 4% quotesOn 14 user lists1,629 followers",141
190,190.,"Rosa Ritunnano@RRitunnanoPhilosophy  & Mental Health: phenomenology, psychosis, delusion, meaning, metaphor. Psychiatrist, Priestley PhD Scholar @IMH_UoB @unimelb. Personal account.Birmingham UK2 years on TwitterRecent tweets: 7% new, 36% replies, 57% retweets, 0% quotesOn 41 user lists3,635 followers",138
191,191.,"Jacqueline Anne Sullivan@jackieAsullivanphilosopher of neuroscience in practice phil@western;core member @rotmanphilo; associate member @BMI_WesternU; proud collaborator @TCNLab at UWOUWO London Ontariojacquelineannesullivan.wordpress.comGoogle Scholar page10 years on TwitterRecent tweets: 3% new, 16% replies, 79% retweets, 2% quotesOn 10 user lists1,048 followers",138
192,192.,"Dr Aline Maya@AlineMayaPPhD  in Philosophy of Mind and Mental Health. I've written #comics and #graphicnovel. Published #author at Black Mirror and Philosophy- dark reflections.Coyoacan, Mexico Cityalinedrawninmymind.blogspot.com6 years on TwitterRecent tweets: 6% new, 43% replies, 49% retweets, 2% quotesOn 29 user lists3,809 followers",137
193,193.,"Lucy McDonald@lucyamcdonaldResearch  Fellow @stjohnscam, working in philosophy of language, ethics, & feminist philosophy. Currently thinking about intimacy & online speech. She/her.Cambridgelucymcdonald.co.uk8 years on TwitterRecent tweets: 17% new, 14% replies, 68% retweets, 1% quotesOn 46 user lists2,543 followers",137
194,194.,"Dr Sophie Stammers@SophieStamsPhilosophy researcher turned software engineer @ammersiveBristolsophiestammers.wordpress.com10 years on TwitterRecent tweets: 22% new, 15% replies, 55% retweets, 9% quotesOn 43 user lists1,123 followers",136
195,195.,"♕Deborah Mayo♕@learnfromerrorprofessor  of philosophy of science, logic, experiment, statistical inference; now  an independent philosopher & stock trader; split time in NYC & Va (and London)errorstatistics.comGoogle Scholar page8 years on TwitterRecent tweets: 26% new, 47% replies, 24% retweets, 3% quotesOn 187 user lists7,234 followers",134
196,196.,"Alison Niedbalski@qualiaisrealPhilosopher  of Mind. Connoisseur of Cognitive Science. Filmmaker. Keys/Vox for audio outfits Qualia, Brontez Purnell, & Burner Herzog (she/sir/them)Oakland/Brooklynqualiaisreal.com13 years on TwitterRecent tweets: 12% new, 65% replies, 17% retweets, 6% quotesOn 42 user lists2,776 followers",134
197,197.,"Liza Thompson@LizaJThompsonSenior Publisher @bloomsburyphilo & @bloomsburybooks. See also @atalkingletter. She/her. liza.thompson@bloomsbury.comBelfast 10 years on TwitterRecent tweets: 17% new, 30% replies, 43% retweets, 11% quotesOn 47 user lists1,662 followers",134
198,198.,"small stellated dodecahadron collider@WhyJenWhyPhD  Candidate at Pitt HPS, thought experimenter, desk-slumper, part-time alchemist, and adventure seamstress. Frequently deceived by evil demons.  She/HerPittsburgh, PAjenniferlwhyte.com8 years on TwitterRecent tweets: 26% new, 64% replies, 5% retweets, 5% quotesOn 15 user lists1,302 followers",134
199,199.,"Liz McKinnell@LizMcKinnellThinking  about moral philosophy, politics, and literature, trying to make art, mother of a toddler, just about coping with life.DurhamGoogle Scholar page10 years on TwitterRecent tweets: 22% new, 70% replies, 5% retweets, 3% quotesOn 42 user lists1,077 followers",134
200,200.,"Emmy van Deurzen☀️🌍 🌻🌹🌳🇪🇺🇫🇷🇳🇱🇬🇧🇺🇸⭐️@emmyzenPhilosopher,  psychologist, existential therapist, human rights activist. Eighteen books. Principal Existential Academy and New School. nspc.org.ukLondon, England, UK.emmyvandeurzen.comVideo channel13 years on TwitterRecent tweets: 6% new, 1% replies, 91% retweets, 3% quotesOn 377 user lists56,163 followers (follows 0.89 accounts per follower)",133
201,201.,"Sabine Roeser@SabineRoeserProfessor  of ethics & head of the Department of Values, Technology and Innovation at TU Delft. My research focus: risk, moral emotions, ethical  intuitions, art.tbm.tudelft.nl/sroeserGoogle Scholar page10 years on TwitterRecent tweets: 14% new, 2% replies, 85% retweets, 0% quotesOn 63 user lists2,182 followers",133
202,202.,"Tender Lettuce 🥬@tenderlettucePhD  student in philosophy: currently thinking about political philosophy, wrongful discrimination, lucrezia marinella, and mary astell 📚🪴✨ alt: @timidlettuceshe/her3 years on TwitterRecent tweets: 30% new, 65% replies, 1% retweets, 4% quotesOn 9 user lists1,677 followers",133
203,203.,"Adriana Alcaraz-Sánchez🦇@Hawally_@SGSAH PhD researcher @UofGCSPE Philosophy of mind & Cog Sci🧠 Sleep, dreams & consciousness. She/HerGlasgow, Scotlandadriana-alcarazsanchez.xyz7 years on TwitterRecent tweets: 16% new, 39% replies, 39% retweets, 6% quotesOn 14 user lists1,276 followers",133
204,204.,"Roberta Millstein@CepaeaPhilosophy, poodles, politics. Evolution, ecology, ethics. Co-editor of #openaccess @PTPBio, blog at davisite.org. Proud Gen X-er (yes, we exist).Davis, CARLM.netGoogle Scholar page13 years on TwitterRecent tweets: 4% new, 27% replies, 62% retweets, 7% quotesOn 23 user lists1,045 followers",133
205,205.,"Anastasia Berg@a_n_a_bergProfessor of philosophy, editor @the_point_maganastasiaberg.com5 years on TwitterRecent tweets: 14% new, 48% replies, 29% retweets, 9% quotesOn 35 user lists2,921 followers",132
206,206.,"S K🛁🏴@s_m_kayPh.D. candidate in philosophy. Organizer with @MarquetteUnion. Cat fan. she/her, elle.6 years on TwitterRecent tweets: 4% new, 93% replies, 1% retweets, 2% quotesOn 9 user lists1,412 followers",131
207,207.,"Mary Leng@mary_lengProfessor of Philosophy. Mum to four. betweenmarxandmarzipan.wordpress.com @uoyphilosophy @uniofyorkyork.ac.uk/philosophy/sta…Google Scholar page6 years on TwitterRecent tweets: 6% new, 48% replies, 34% retweets, 12% quotesOn 24 user lists2,766 followers",130
208,208.,"maria baghramian@mariabaghramianFull  Professor of American Philosophy, co-director of UCD Cognitive Science Programme, Member of Royal Irish Academy, Coordinator of PEriTiA H2020 Project.Dublinucd.ie/research/peopl…Google Scholar page13 years on TwitterRecent tweets: 9% new, 21% replies, 52% retweets, 18% quotesOn 19 user lists1,236 followers",130
209,209.,"M.J. Crockett@mollycrockettAssociate Professor of Psychology @Yale, moving to @Princeton in summer 2022New Haven, CTcrockettlab.orgGoogle Scholar page11 years on TwitterRecent tweets: 3% new, 15% replies, 71% retweets, 12% quotesOn 434 user lists14,647 followers",129
210,210.,"Sophie Juliane Veigl@Dr_inPhieVeigldeveloping  an STS/feminist epistemology update for epistemic systems @univienna. scicomm @philscicomm. 🦆duck enthusiast. 🤼‍♀️wrestles.🌹. Wienerin. she/herWien, ÖsterreichGoogle Scholar page4 years on TwitterRecent tweets: 24% new, 22% replies, 49% retweets, 5% quotesOn 26 user lists1,474 followers",129
211,211.,"wintermoonrise@philizophernot so grim up north12 years on TwitterRecent tweets: 29% new, 41% replies, 26% retweets, 3% quotesOn 70 user lists1,162 followers",129
212,212.,"Mollie Gerver@MollieGerverAssistant  professor @Kingspol_econ. Author of The Ethics and Practice of Refugee Repatriation. Focusing on philosophy of consent, immigration, and some x-phi.London, UKmgerver.comGoogle Scholar page13 years on TwitterRecent tweets: 12% new, 75% replies, 6% retweets, 7% quotesOn 26 user lists1,266 followers",128
213,213.,"Lillian Cicerchia@LILCICERCHPhilosopher | Writer | FU Berlin | co-host @leftofphil pod2 years on TwitterRecent tweets: 12% new, 33% replies, 46% retweets, 8% quotesOn 33 user lists5,421 followers",127
214,214.,"Babette Babich@babette_babichPhilosopher  of science/technology, music, art, classics. Heidegger/Nietzsche/Adorno/Anders. Professor of Philosophy. Tweets mine.  Unless quoting. Or retweeting.New York, NYwordpress.com/view/babetteba…10 years on TwitterRecent tweets: 12% new, 67% replies, 19% retweets, 1% quotesOn 184 user lists4,276 followers",127
215,215.,"Keisha Ray, PhD@DrKeishaRayBioethicist.  Philosopher. #BlackHealth. Bioenhancement. DEI consult. #BlackBioethics. #MedHum. #MedSchool Prof. @bioethics_net editor. Thoughts my own. she/herHouston, TXmed.uth.edu/mcgovern/facul…Google Scholar page3 years on TwitterRecent tweets: 18% new, 45% replies, 31% retweets, 7% quotesOn 35 user lists2,513 followers",127
216,216.,"Clare Chambers@DrClareChambersProfessor  of Political Philosophy, University of Cambridge. Author: INTACT: A DEFENCE OF THE UNMODIFIED BODY; AGAINST MARRIAGE; and SEX, CULTURE, & JUSTICE.clarechambers.comGoogle Scholar page9 years on TwitterRecent tweets: 12% new, 26% replies, 48% retweets, 14% quotesOn 21 user lists1,697 followers",127
217,217.,"ophelia.deroy@OpheliaDeroythinker,  sailor, swimmer, PI. Prof. philosophy/cogsci @CvbeLab, LMU. Interest. in uncertainty, esp. its positive effects in perception, social cog & #scicommProbably not where you think opheliaderoy.comGoogle Scholar page10 years on TwitterRecent tweets: 33% new, 37% replies, 19% retweets, 10% quotesOn 20 user lists1,606 followers",127
218,218.,"Amelia Horgan@AmeliaHorganauthor of LOST IN WORK. PhD candidate in philosophy, researching work etc.gmail: ameliahorganlinktr.ee/Ahorgan11 years on TwitterRecent tweets: 13% new, 42% replies, 41% retweets, 5% quotesOn 76 user lists19,062 followers",125
219,219.,"Anna Ortín Nadal@annaortinPhD  | Postdoctoral Researcher at @univgroningen | EM Philosophy, HPS | Editor-in-chief Selecciones de Teología at @CiJusticia | Tweets in Cat & EngThe Netherlands10 years on TwitterRecent tweets: 21% new, 49% replies, 15% retweets, 16% quotesOn 15 user lists1,061 followers",125
220,220.,"Amy Marvin@amyrmarvmeandering professor of philosophy, WGS, & trans studiesYorkgettysburg.academia.edu/AmyMarvin6 years on TwitterRecent tweets: 29% new, 38% replies, 31% retweets, 3% quotesOn 28 user lists4,675 followers",124
221,221.,"Dr Jen Krutzinna@Jen_BMJSenior  Research Fellow @DiscretionUiB. Bioethics, philosophy, human rights, child welfare, disability, decision-making, paternalism, solidarity. Past:@oiioxfordBergen, Norwayresearchgate.net/profile/Jenny_…8 years on TwitterRecent tweets: 20% new, 47% replies, 25% retweets, 9% quotesOn 39 user lists1,928 followers",124
222,222.,"L. A. Paul@trexprojectProfessor of Philosophy and Cognitive Science at Yale UniversityNew Haven, CTlapaul.orgGoogle Scholar page8 years on TwitterRecent tweets: 33% new, 36% replies, 24% retweets, 8% quotesOn 24 user lists1,301 followers",124
223,223.,"Gwendolyn Dolske@GDolskePhilosophy, Books, and Oxford comma. I lecture about stuff. Host of @InTheDetailsPod. amazon.com/author/gwendol…. https://t.co/ySR5oqoXUaCalifornia9 years on TwitterRecent tweets: 22% new, 49% replies, 27% retweets, 2% quotesOn 44 user lists1,240 followers",124
224,224.,"Robin Z.@firepileProfessor,  Philosopher, Embodied Cognition/Cognitive Scientist, AI Theorist, Science Fiction Fan, Cyborgologist, Knitter, Comic Book Reader, 4ad nerd.Beloit, WI14 years on TwitterRecent tweets: 25% new, 37% replies, 32% retweets, 6% quotesOn 98 user lists2,413 followers",123
225,225.,"Giulia Cavaliere@giuli_cavaliereLecturer  in Med Law & Ethics at @KCL_Law - interest in repro decisions and parenting. Retweet = This is the best thing I've ever read and I couldn't agree moreLondon, Englandphilpeople.org/profiles/giuli…Google Scholar page6 years on TwitterRecent tweets: 26% new, 27% replies, 41% retweets, 7% quotesOn 46 user lists1,754 followers",123
226,226.,"Dr Sophie Allen@sophie_r_allenPhilosophy  lecturer @KeelePhilosoph1 @KeeleUniversity Writes about Metaphysics, Philosophy of Science, Language & Mind. Thinks about lots more. Tweets mine etc.United Kingdom4 years on TwitterRecent tweets: 2% new, 7% replies, 91% retweets, 1% quotesOn 37 user lists3,327 followers",122
227,227.,"Karen Ng@karen_kyngPhilosophy  professor at Vanderbilt University. Writes about German idealism and ruthless critique. Author of Hegel’s Concept of Life https://t.co/hfSSFuV3UwNashville, TNkaren-ng.com1 year on TwitterRecent tweets: 29% new, 37% replies, 22% retweets, 12% quotesOn 22 user lists2,529 followers",122
228,228.,"Kate Devitt@skdevittPhD  philosophy (epistemology, cog sci, ethics) Rutgers. Chief Scientist Trusted Autonomous Systems. CEO BetterBeliefs. Adj. A/Prof Human-Centred  Computing, UQ.iPhone: -27.497580,153.019165tasdcrc.com.auGoogle Scholar page13 years on TwitterRecent tweets: 8% new, 25% replies, 48% retweets, 19% quotesOn 157 user lists2,513 followers",122
229,229.,"Sandrine Berges@sandrineankaraAngry feminist philosopher. Autism parent. Historical zombie fiction writer #WIASNAnkarasandrineberges.comGoogle Scholar page12 years on TwitterRecent tweets: 42% new, 25% replies, 27% retweets, 6% quotesOn 36 user lists1,398 followers",122
230,230.,"Aline M. Ramos, PhD@alinemramosPhilosopher,  and not just your average Zelda Fitzgerald. Medievete™. Magistra philosophiae hic alicubi. (ea/eam) #medievaltwitter #philosophytwitterMontréal, Qc.sites.google.com/site/alinemram…14 years on TwitterRecent tweets: 25% new, 51% replies, 17% retweets, 7% quotesOn 50 user lists1,564 followers",121
231,231.,"Vanessa Bentley@pirateVShe/her.  Philosopher of science (neuroscience). Experiment, science & values, neuroethics, & feminist philosophy of science. University of  Central OklahomaEdmond, OK13 years on TwitterRecent tweets: 30% new, 15% replies, 53% retweets, 2% quotesOn 81 user lists1,026 followers",121
232,232.,"Luna Dolezal@lunadolezalAssociate  Professor in Philosophy & Medical Humanities @UniofExeter @wcceh Phenomenology, Medical Humanities, Embodiment @shame_medicine & @itdfproject ProjectsExeter, Englandhumanities.exeter.ac.uk/history/staff/…Google Scholar page9 years on TwitterRecent tweets: 4% new, 3% replies, 92% retweets, 1% quotesOn 61 user lists2,172 followers",120
233,233.,"👖Denim on Denim Fan Account👖@FigNuisance@UofT_IHPST  PhD student. RA @UWO. Trust, phil of medicine, bioethics, crowdfunding ethics, ontology. Trail runner, powerlifter, baker. Here to talk about fruitthey/sheinstagram.com/forkinprogress/9 years on TwitterRecent tweets: 6% new, 70% replies, 9% retweets, 14% quotesOn 13 user lists1,286 followers",120
234,234.,"Federica Russo@federicarussophilosopher and editor; interested in science, technology, policyrussofederica.wordpress.comGoogle Scholar page9 years on TwitterRecent tweets: 10% new, 61% replies, 9% retweets, 19% quotesOn 27 user lists1,211 followers",120
235,235.,"becca@boodleoopsreality adjacent12 years on TwitterRecent tweets: 17% new, 42% replies, 35% retweets, 6% quotesOn 199 user lists18,907 followers",117
236,236.,"Matina Liosi@MatinaLiosiMedical Ethics & Law @UCL @uclcancerCaversham, Berkshire2 years on Twitter until last tweet (2020-Apr-23)Recent tweets: 24% new, 27% replies, 35% retweets, 14% quotesOn 21 user lists1,350 followers",117
237,237.,"Pamela J. Hobart@amelapayphilosopher with a coaching practice for overthinky online ppl, New Yorker in Texas with 3 kids and a Miata.Austin, TXpamelajhobart.com13 years on TwitterRecent tweets: 13% new, 82% replies, 1% retweets, 4% quotesOn 249 user lists6,114 followers",116
238,238.,"IrishPhilosophy@IrishPhilosophyIrish Philosophy, history of Irish thought, philosophy in Ireland and related topics.Irelandirishphilosophy.com7 years on TwitterRecent tweets: 14% new, 17% replies, 57% retweets, 12% quotesOn 120 user lists4,121 followers",116
239,239.,"Alexandra Bradner@AlexBradnerPhilosopher of explanation and understanding, teacher, sometimes essayist, working momWesterville, OHkenyon.edu/directories/ca…Google Scholar page10 years on TwitterRecent tweets: 21% new, 5% replies, 73% retweets, 2% quotesOn 26 user lists1,545 followers",114
240,240.,"Pilar Herraiz@pilicaPhD in Philosophy. Medievalist, Averroist, part-time Latinist. Tweets in English and Spanish.Hellín, Spainpiluky.blogspot.com14 years on TwitterRecent tweets: 18% new, 65% replies, 16% retweets, 2% quotesOn 104 user lists2,304 followers",110
241,241.,"Dr. Maya J. Goldenberg@goldenbergmaya1Philosopher  of medicine, University of Guelph. Vaccine hesitancy, science & values, public trust, women's health, humanities, higher ed. Argues, doesn't fight.mayagoldenberg.caGoogle Scholar page1 year on TwitterRecent tweets: 5% new, 34% replies, 51% retweets, 11% quotesOn 28 user lists1,522 followers",110
242,242.,"Alison Reiheld, PhD@AlisonReiheldPhilosopher, Bioethicist. 'Struggling to be brief, I become obscure.' - Horace Pronouns: she/herGoogle Scholar page8 years on TwitterRecent tweets: 10% new, 24% replies, 61% retweets, 5% quotesOn 28 user lists1,001 followers",110
243,243.,"hanne de jaegher@participhaphilosopher | researcher | writer 2021-2 @WallInstitute prof @upvehu fellow @chatlabuk co-director @DialogicAction she/theyVancouverhannedejaegher.netGoogle Scholar page7 years on TwitterRecent tweets: 15% new, 31% replies, 50% retweets, 5% quotesOn 41 user lists1,599 followers",109
244,244.,"Maureen Sie@mmsksieResearcher  in philosophy (of action, moral psychology &meta-ethics), interdisciplinary focus, full professor @TiU. Only active on social media every now & then.University of Tilburgmaureensie.wordpress.comGoogle Scholar page12 years on TwitterRecent tweets: 22% new, 21% replies, 57% retweets, 0% quotesOn 38 user lists1,094 followers",108
245,245.,"Eleanor Byrne@ellieabyrneResearching CFS/ME & Long/Post-Covid • @UoYPhilosophy @GriefYork • Philosophy of medicine, psychiatry, phenomenologyYorkeabyrne.weebly.com12 years on TwitterRecent tweets: 9% new, 58% replies, 22% retweets, 11% quotesOn 22 user lists1,067 followers",108
246,246.,"Noelle McAfee@nmcafeeprofessor  of philosophy, emory university, into democratic theory, psychoanalysis, new media, feminist theory, public philosophy, and midcentury modernismAtlanta, Georgiagonepublic.netGoogle Scholar page13 years on TwitterRecent tweets: 73% new, 13% replies, 8% retweets, 6% quotesOn 80 user lists1,160 followers",107
247,247.,"Kristina Meshelski@KrisMeshelskiPhilosopher, CSUN professor, tweeting against police and for cute animalsLos Angeles, CAphilpapers.org/s/kristina%20m…Google Scholar page10 years on TwitterRecent tweets: 13% new, 41% replies, 43% retweets, 4% quotesOn 18 user lists1,002 followers",106
248,248.,"Rebecca Newberger Goldstein@platobooktourPhilosopher and novelist; 2014 National Humanities Medalrebeccagoldstein.com8 years on TwitterRecent tweets: 30% new, 62% replies, 7% retweets, 0% quotesOn 499 user lists67,158 followers",105
249,249.,"AV@ashwinivasanthaQueen's  National Scholar and Associate Prof @queensulaw | Visiting Fellow @HertieCFR | alum @Harvard @YaleLawSch @UniofOxford | migration, authority, obligationBerlinashwinivasanthakumar.comGoogle Scholar page9 years on TwitterRecent tweets: 9% new, 40% replies, 36% retweets, 15% quotesOn 31 user lists2,128 followers",104
250,250.,"Angel Petropanagos@APetropanagosBioethicist.  Feminist Philosopher, Ph.D. (She/Her). Views expressed on this account are my own and do not represent those of my employer.Mississauga, Ontario13 years on TwitterRecent tweets: 2% new, 6% replies, 85% retweets, 8% quotesOn 35 user lists1,507 followers",104
251,251.,"Adriel M Trott@AdrielTrott#TeachingPhilosophy  @WabashCollege #politics #feminism #antiracism #ancientphil Views expressed here are mine & don't reflect my employer.Indianapolis, INadrieltrott.comGoogle Scholar page9 years on TwitterRecent tweets: 30% new, 17% replies, 45% retweets, 7% quotesOn 46 user lists1,014 followers",104
252,252.,"Marianne Talbot@OxPhil_MarianneDirector of studies in philosophy at Oxford University's Department for Continuing EducationOxfordmariannetalbot.co.uk9 years on Twitter until last tweet (2020-Sep-14)Recent tweets: 28% new, 37% replies, 35% retweets, 0% quotesOn 122 user lists3,146 followers",102
253,253.,"Shelbi Nahwilet 🌰@qaxaawutLuiseño  & Cupeño. Assistant Prof @ Georgetown philosophy. American Indian & Indigenous phil, feminist epist, lang, land, trauma, critical social work. she/herPiscataway & Anacostan land. 11 years on TwitterRecent tweets: 33% new, 41% replies, 22% retweets, 4% quotesOn 19 user lists2,834 followers",102
254,254.,"Dr Lene Auestad@LeneAuestadPhilosopher,  PhD. Author. Editor. Translator. Founder, Psychoanalysis and Politics. Phenomenology, Critical theory, Social philosophy, Ethics, Prejudice.London and Oslolawritings.net7 years on TwitterRecent tweets: 36% new, 13% replies, 49% retweets, 1% quotesOn 70 user lists2,643 followers",102
255,255.,"jenelle salisbury@JenelleGloriagraduate  student at UCONN. studying philosophy of mind; the unity of consciousness, conception (sensing & sense-making), and self-knowledgejenellegloria.com12 years on TwitterRecent tweets: 21% new, 68% replies, 10% retweets, 1% quotesOn 17 user lists1,193 followers",101
256,256.,"Eline Gerritsen@ElineAtSeaFinishing a Philosophy PhD @ St Andrews, Stirling & Groningen / metaethics, normativity, norms / Denker in opleidingHamburg11 years on TwitterRecent tweets: 30% new, 55% replies, 3% retweets, 12% quotesOn 16 user lists1,025 followers",100
257,257.,"Erin Nash@ErinJNashpart-time philosopher / full-time water resource planner & policy analyst. Header - 'Cargo Cult' by Martha RoslerNaarmerinjnash.coGoogle Scholar page9 years on TwitterRecent tweets: 22% new, 31% replies, 32% retweets, 15% quotesOn 27 user lists1,211 followers",99
258,258.,"Gwendolyn Marshall@gwen_h_marshall(formerly  Eugene) Philosophy Prof. studying 17th C. I write TTRPGs @2cgaming & @arcanistpress. Left politics, SF/F, punk, games. Trans. She/her 🏳️‍🌈🏳️‍⚧️BLM!St Louis, MOsites.google.com/view/gwendolyn…Google Scholar page10 years on TwitterRecent tweets: 12% new, 31% replies, 47% retweets, 11% quotesOn 42 user lists1,277 followers",97
259,259.,"nadia mehdi@Darlobratresearcher  for radio (@novelpodcasts) 🎧 // philosophy phd kid @ sheffield writing  about oppression & aesthetics // #blm #sexworkiswork 🌈sheffield10 years on TwitterRecent tweets: 23% new, 39% replies, 29% retweets, 9% quotesOn 9 user lists1,638 followers",96
260,260.,"Esther Keymolen@estherkeyVice  Dean of Research @TilburgLaw, Professor of Digital Technology Regulation @TilburgU_TILT. focus: Trust(worthiness), AI, Data Ethics, privacy.Tilburg, Nederlandestherkeymolen.nlGoogle Scholar page13 years on TwitterRecent tweets: 0% new, 58% replies, 37% retweets, 5% quotesOn 72 user lists2,768 followers",95
261,261.,"Christina Sommers@CHSommersSenior  Fellow, AEI. Former philosophy professor. Author of War Against Boys and Who Stole Feminism? Host of YouTube’s The Factual Feminist.Washington, DCaei.org/scholar/christ…Video channel10 years on TwitterRecent tweets: 4% new, 5% replies, 85% retweets, 6% quotesOn 2,493 user lists304,293 followers",94
262,262.,"Gemma Lucy Smart@gemmalucysmartHPS  PhD researcher @Sydney_uni. Addiction | Critical Psychiatry | Phil Neuroscience | Ethics. Also a Musician/Poet | Disabled | Queer | Activist. 🌿 She/TheyDarug and Gundagurra Land12 years on TwitterRecent tweets: 14% new, 33% replies, 41% retweets, 12% quotesOn 30 user lists1,384 followers",94
263,263.,"Rachel Anne Williams@rach_a_williamsAuthor,  writer, product manager, philosopher, piano dabbler, bibliophile, life-long learner, interested in healthcare & technology | nonbinary  | She/herSt. Louis, MO6 years on TwitterRecent tweets: 29% new, 48% replies, 10% retweets, 14% quotesOn 71 user lists6,878 followers",93
264,264.,"Ruth Jackson Ravenscroft 🦥@RuthxJacksonfellow  & tutor @SidneySussex @Cambridge_Uni || theology, philosophy, the flesh of the world || views & errant umlauts are my own || strangeRegion of Dissimilaritysid.cam.ac.uk/aboutus/people…7 years on TwitterRecent tweets: 34% new, 55% replies, 11% retweets, 1% quotesOn 43 user lists2,340 followers",93
265,265.,"Marta Halina@MartaHalinaResearcher and lecturer @CambridgeHPS investigating animal and machine minds. she/hermartahalina.comGoogle Scholar page8 years on TwitterRecent tweets: 8% new, 41% replies, 48% retweets, 3% quotesOn 17 user lists1,075 followers",93
266,266.,"Beverley Clack 🐈 📚🧶🌹🌳🏏💀@bevclackProf  in Philosophy of Religion. Pam Ayres’ vocal twin. ‘The perfect is the enemy of the good.’ #Labour #feminist #Methodist #thearchers #failure #EuropeanOxfordprofessorbeverleyclack.academia.edu11 years on TwitterRecent tweets: 15% new, 29% replies, 41% retweets, 15% quotesOn 127 user lists7,010 followers",92
267,267.,"Lucy Prior@lucypphilosophy@Midlands4Cities  Philosophy PhD student - UoB. Researching the language & concepts of anxiety w/@IMH_UoB. The Phil. of anxiety reading group. Views all my own.linkedin.com/in/lucy-prior-…2 years on TwitterRecent tweets: 29% new, 49% replies, 15% retweets, 8% quotesOn 18 user lists1,504 followers",92
268,268.,"Francesca Minerva@FranciMinervaCo-founder and Co-editor of the Journal of Controversial Ideas. Utilitarian philosopher and enthusiastic transhumanist.England, United Kingdomfrancescaminerva.comGoogle Scholar page9 years on TwitterRecent tweets: 15% new, 30% replies, 43% retweets, 11% quotesOn 55 user lists2,966 followers",90
269,269.,"Catherine Herfeld@cherfeldPhilosopher and historian of the social sciences with a specific interest in economics.Zürich, Schweizcatherineherfeld.weebly.comGoogle Scholar page4 years on TwitterRecent tweets: 4% new, 42% replies, 52% retweets, 3% quotesOn 22 user lists1,017 followers",89
270,270.,"Hedda Hassel Mørch@heddamorchPhilosopher at @HiInnlandet. I work on the fundamental nature of matter and consciousnessOslo, Norwayheddahasselmorch.com6 years on TwitterRecent tweets: 20% new, 42% replies, 31% retweets, 7% quotesOn 41 user lists1,532 followers",88
271,271.,"Francoise Baylis, PhD@FrancoiseBaylisAuthor 'Altered Inheritance', Philosopher, University Research Professor, Dalhousie UniversityHalifax, Canadanoveltechethics.caGoogle Scholar page9 years on TwitterRecent tweets: 16% new, 11% replies, 63% retweets, 10% quotesOn 114 user lists4,011 followers",83
272,272.,"Arianne Shahvisi@ArianneShahvisiPhilosopher  of gender, race, borders, science | Essays in LRB, Independent, Verso, Economist | My views rarely coincide with those of my bosses (she/her/Dr)Brighton, UK. bit.ly/3fpQymoGoogle Scholar page1 year on TwitterRecent tweets: 35% new, 21% replies, 44% retweets, 1% quotesOn 23 user lists2,230 followers",83
