0,#,Account,Peer followers
563,563.,"Rohan French@RohanFrenchAn Australian Philosophical Logician. Associate Professor of Philosophy at @ucdavis. (he/him)Davis, CArohan-french.github.ioGoogle Scholar page11 years on TwitterRecent tweets: 1% new, 57% replies, 37% retweets, 4% quotesOn 31 user lists1,189 followers",132
564,564.,"Peter Smith@PeterSmithSometime Cambridge logic lecturer, now idling in retirementCambridgelogicmatters.net/about14 years on TwitterRecent tweets: 34% new, 34% replies, 29% retweets, 3% quotesOn 150 user lists3,187 followers",131
565,565.,"S K🛁🏴@s_m_kayPh.D. candidate in philosophy. Organizer with @MarquetteUnion. Cat fan. she/her, elle.6 years on TwitterRecent tweets: 4% new, 93% replies, 1% retweets, 2% quotesOn 9 user lists1,412 followers",131
566,566.,"Kengo Miyazono@miyazono_kengophilosopherSapporo, Hokkaidokengomiyazono.weebly.comGoogle Scholar page7 years on TwitterRecent tweets: 2% new, 3% replies, 95% retweets, 1% quotesOn 25 user lists1,058 followers",131
567,567.,"Mary Leng@mary_lengProfessor of Philosophy. Mum to four. betweenmarxandmarzipan.wordpress.com @uoyphilosophy @uniofyorkyork.ac.uk/philosophy/sta…Google Scholar page6 years on TwitterRecent tweets: 6% new, 48% replies, 34% retweets, 12% quotesOn 24 user lists2,766 followers",130
568,568.,"Thomas Reydon@ThomasReydonPhilosopher  of science & tech. | Works on evolution, explanation, causation, classification | Editor of @JGenPhilSci | Hagenaar! | East Lansing &  Hannover🇺🇸 🇩🇪 🇳🇱 🇪🇺reydon.infoGoogle Scholar page5 years on TwitterRecent tweets: 21% new, 10% replies, 66% retweets, 3% quotesOn 47 user lists1,273 followers",130
569,569.,"maria baghramian@mariabaghramianFull  Professor of American Philosophy, co-director of UCD Cognitive Science Programme, Member of Royal Irish Academy, Coordinator of PEriTiA H2020 Project.Dublinucd.ie/research/peopl…Google Scholar page13 years on TwitterRecent tweets: 9% new, 21% replies, 52% retweets, 18% quotesOn 19 user lists1,236 followers",130
570,570.,"Paul Giladi@DrPaulGiladiPhilosopher  @ManMetUni writing/teaching on various naturalisms, Hegel, pragmatism, critical social theory, sexology, and urban design; @Arsenal + @SWFC; He/hisThe Space of Reasonsmmu.academia.edu/PaulGiladiGoogle Scholar page4 years on TwitterRecent tweets: 33% new, 57% replies, 4% retweets, 6% quotesOn 22 user lists1,127 followers",130
571,571.,"M.J. Crockett@mollycrockettAssociate Professor of Psychology @Yale, moving to @Princeton in summer 2022New Haven, CTcrockettlab.orgGoogle Scholar page11 years on TwitterRecent tweets: 3% new, 15% replies, 71% retweets, 12% quotesOn 434 user lists14,647 followers",129
572,572.,"Sophie Juliane Veigl@Dr_inPhieVeigldeveloping  an STS/feminist epistemology update for epistemic systems @univienna. scicomm @philscicomm. 🦆duck enthusiast. 🤼‍♀️wrestles.🌹. Wienerin. she/herWien, ÖsterreichGoogle Scholar page4 years on TwitterRecent tweets: 24% new, 22% replies, 49% retweets, 5% quotesOn 26 user lists1,474 followers",129
573,573.,"Jani HakkarainenPhil@hakkarainenphilFinnish  philosopher working on metaphysics (tropes & relations), metametaphysics (formal ontology) & Hume. Senior Lecturer at Tampere  University (Finland).Tampere, FinlandGoogle Scholar page9 years on TwitterRecent tweets: 41% new, 41% replies, 8% retweets, 10% quotesOn 37 user lists1,362 followers",129
574,574.,"Aaron James Wendland@aj_wendlandVision  Fellow in Public Philosophy, King's College London | Senior Research Fellow, Massey College, University of Toronto | Philosophy Moderator, New Statesmanroutledge.com/Heidegger-on-T…Google Scholar page1 year on TwitterRecent tweets: 84% new, 2% replies, 12% retweets, 2% quotesOn 25 user lists1,237 followers",129
575,575.,"wintermoonrise@philizophernot so grim up north12 years on TwitterRecent tweets: 29% new, 41% replies, 26% retweets, 3% quotesOn 70 user lists1,162 followers",129
576,576.,"Seamus@scmbradleyThought haver. Coffee drinker. Nit picker. He/Him.Leeds, Englandseamusbradley.netGoogle Scholar page13 years on TwitterRecent tweets: 18% new, 65% replies, 9% retweets, 8% quotesOn 54 user lists1,017 followers",129
577,577.,"Prof. TJCurry Ph.D MPH@DrTJCPersonal  Chair of Africana Philosophy & Black Male Studies, Multi-Award winning author, Editor of Black Male Studies series on Temple University  PressGoogle Scholar page12 years on TwitterRecent tweets: 4% new, 54% replies, 33% retweets, 8% quotesOn 122 user lists16,510 followers",128
578,578.,"John Sellars@DrJSellarsReader  in Philosophy @RoyalHolloway University of London; also affiliated to @KingsCollegeLon. Member of @WolfsonCollege. Writes about Stoicism &  other things.johnsellars.org.ukGoogle Scholar page10 years on TwitterRecent tweets: 54% new, 26% replies, 7% retweets, 12% quotesOn 153 user lists4,226 followers",128
579,579.,"Mollie Gerver@MollieGerverAssistant  professor @Kingspol_econ. Author of The Ethics and Practice of Refugee Repatriation. Focusing on philosophy of consent, immigration, and some x-phi.London, UKmgerver.comGoogle Scholar page13 years on TwitterRecent tweets: 12% new, 75% replies, 6% retweets, 7% quotesOn 26 user lists1,266 followers",128
580,580.,"Jason Read@UnemployednegProfessor  of Philosophy at the University of Southern Maine. Currently working on  a book on work, ideology, and politics. He/Him🦖🥃Portland, MEunemployednegativity.comGoogle Scholar page3 years on TwitterRecent tweets: 34% new, 38% replies, 21% retweets, 6% quotesOn 55 user lists9,916 followers",127
581,581.,"Lillian Cicerchia@LILCICERCHPhilosopher | Writer | FU Berlin | co-host @leftofphil pod2 years on TwitterRecent tweets: 12% new, 33% replies, 46% retweets, 8% quotesOn 33 user lists5,421 followers",127
582,582.,"Babette Babich@babette_babichPhilosopher  of science/technology, music, art, classics. Heidegger/Nietzsche/Adorno/Anders. Professor of Philosophy. Tweets mine.  Unless quoting. Or retweeting.New York, NYwordpress.com/view/babetteba…10 years on TwitterRecent tweets: 12% new, 67% replies, 19% retweets, 1% quotesOn 184 user lists4,276 followers",127
583,583.,"Keisha Ray, PhD@DrKeishaRayBioethicist.  Philosopher. #BlackHealth. Bioenhancement. DEI consult. #BlackBioethics. #MedHum. #MedSchool Prof. @bioethics_net editor. Thoughts my own. she/herHouston, TXmed.uth.edu/mcgovern/facul…Google Scholar page3 years on TwitterRecent tweets: 18% new, 45% replies, 31% retweets, 7% quotesOn 35 user lists2,513 followers",127
584,584.,"Matthias Michel@MatthiasMichel_Philosophy of science and cognitive science of consciousness. Center for Mind, Brain and Consciousness, New York University.matthias-michel.wixsite.com/michelGoogle Scholar page5 years on TwitterRecent tweets: 4% new, 37% replies, 58% retweets, 1% quotesOn 46 user lists2,424 followers",127
585,585.,"Gwilym David Blunt@GDBluntSenior  Lecturer (Associate Professor) @Cityintpolitics. Author of Global Poverty, Injustice and Resistance (Cambridge UP, 2020). Host @TheCityPolitics PodcastIslington, Londoncity.ac.uk/people/academi…Google Scholar page9 years on TwitterRecent tweets: 27% new, 7% replies, 32% retweets, 34% quotesOn 28 user lists2,299 followers",127
586,586.,"Clare Chambers@DrClareChambersProfessor  of Political Philosophy, University of Cambridge. Author: INTACT: A DEFENCE OF THE UNMODIFIED BODY; AGAINST MARRIAGE; and SEX, CULTURE, & JUSTICE.clarechambers.comGoogle Scholar page9 years on TwitterRecent tweets: 12% new, 26% replies, 48% retweets, 14% quotesOn 21 user lists1,697 followers",127
587,587.,"ophelia.deroy@OpheliaDeroythinker,  sailor, swimmer, PI. Prof. philosophy/cogsci @CvbeLab, LMU. Interest. in uncertainty, esp. its positive effects in perception, social cog & #scicommProbably not where you think opheliaderoy.comGoogle Scholar page10 years on TwitterRecent tweets: 33% new, 37% replies, 19% retweets, 10% quotesOn 20 user lists1,606 followers",127
588,588.,"Tom O'Shea@DrTomOSheaPhilosopher and political theorist.Londontomoshea.weebly.comGoogle Scholar page5 years on TwitterRecent tweets: 30% new, 44% replies, 25% retweets, 1% quotesOn 19 user lists1,421 followers",127
589,589.,"Joshua A. Miller@anotherpanaceaprison education & philosophy & nerdery. decarcerate now! Georgetown UniversityWashington, DCanotherpanacea.com13 years on TwitterRecent tweets: 26% new, 40% replies, 13% retweets, 21% quotesOn 29 user lists1,129 followers",127
590,590.,"Peter Bradley@pbradl42Director of the Honors Program, Ferris State University. Former Assoc. Prof. of Philosophy. Views expressed here my own.Rockford, MIferris.edu/honors/13 years on TwitterRecent tweets: 40% new, 23% replies, 31% retweets, 6% quotesOn 66 user lists1,087 followers",127
591,591.,"aaron@A_Thomas_BolducPhilosophy  PhD | Math; Logic; Law; Politics; #OER/#openaccess | 🐝🐝🐝 | works in  Law | American in Canada | gardening/farming | he/himinside my house5 years on TwitterRecent tweets: 3% new, 18% replies, 70% retweets, 10% quotesOn 21 user lists1,077 followers",127
592,592.,"Michael LaBossiere@drlabossiereI'm a runner/gamer from Maine who went to school in Ohio and ended up a philosophy professor in Florida.Tallahassee, Floridaaphilosopher.drmcl.com12 years on TwitterRecent tweets: 96% new, 3% replies, 0% retweets, 0% quotesOn 45 user lists1,777 followers",126
593,593.,"Amelia Horgan@AmeliaHorganauthor of LOST IN WORK. PhD candidate in philosophy, researching work etc.gmail: ameliahorganlinktr.ee/Ahorgan11 years on TwitterRecent tweets: 13% new, 42% replies, 41% retweets, 5% quotesOn 76 user lists19,062 followers",125
594,594.,"Joseph Stramondo - ♿️✒️🤓✊️@PhilosopherCripDad,  Spouse @lsmithonfire, Assoc Prof @SDSU, Dir of @IEPA_SDSU, Co-President  of @Dis_Studies, #Philosophy, #Bioethics, #DisStudies, #BLM, opinions mine, he/himUnited Statesscholar.google.com/citations?user…Google Scholar page5 years on TwitterRecent tweets: 10% new, 12% replies, 78% retweets, 1% quotesOn 38 user lists3,013 followers",125
595,595.,"Cédric Eyssette@Cedric_EyssetteProfesseur de philosophie & Enseignant en Section Euro Anglais. @eyssette@scholar.socialFranceeyssette.github.io14 years on TwitterRecent tweets: 11% new, 81% replies, 7% retweets, 2% quotesOn 81 user lists2,345 followers",125
596,596.,"Marcin Miłkowski@MilekPlphilosopher  of cognitive science; Institute of Philosophy & Sociology, Polish Academy of Sciences; some natural language processing and translationWarsawmarcinmilkowski.plGoogle Scholar page10 years on TwitterRecent tweets: 4% new, 57% replies, 37% retweets, 2% quotesOn 39 user lists1,428 followers",125
597,597.,"Anna Ortín Nadal@annaortinPhD  | Postdoctoral Researcher at @univgroningen | EM Philosophy, HPS | Editor-in-chief Selecciones de Teología at @CiJusticia | Tweets in Cat & EngThe Netherlands10 years on TwitterRecent tweets: 21% new, 49% replies, 15% retweets, 16% quotesOn 15 user lists1,061 followers",125
598,598.,"Amy Marvin@amyrmarvmeandering professor of philosophy, WGS, & trans studiesYorkgettysburg.academia.edu/AmyMarvin6 years on TwitterRecent tweets: 29% new, 38% replies, 31% retweets, 3% quotesOn 28 user lists4,675 followers",124
599,599.,"Dr Jen Krutzinna@Jen_BMJSenior  Research Fellow @DiscretionUiB. Bioethics, philosophy, human rights, child welfare, disability, decision-making, paternalism, solidarity. Past:@oiioxfordBergen, Norwayresearchgate.net/profile/Jenny_…8 years on TwitterRecent tweets: 20% new, 47% replies, 25% retweets, 9% quotesOn 39 user lists1,928 followers",124
600,600.,"L. A. Paul@trexprojectProfessor of Philosophy and Cognitive Science at Yale UniversityNew Haven, CTlapaul.orgGoogle Scholar page8 years on TwitterRecent tweets: 33% new, 36% replies, 24% retweets, 8% quotesOn 24 user lists1,301 followers",124
601,601.,"Gwendolyn Dolske@GDolskePhilosophy, Books, and Oxford comma. I lecture about stuff. Host of @InTheDetailsPod. amazon.com/author/gwendol…. https://t.co/ySR5oqoXUaCalifornia9 years on TwitterRecent tweets: 22% new, 49% replies, 27% retweets, 2% quotesOn 44 user lists1,240 followers",124
602,602.,"Robin Z.@firepileProfessor,  Philosopher, Embodied Cognition/Cognitive Scientist, AI Theorist, Science Fiction Fan, Cyborgologist, Knitter, Comic Book Reader, 4ad nerd.Beloit, WI14 years on TwitterRecent tweets: 25% new, 37% replies, 32% retweets, 6% quotesOn 98 user lists2,413 followers",123
603,603.,"Giulia Cavaliere@giuli_cavaliereLecturer  in Med Law & Ethics at @KCL_Law - interest in repro decisions and parenting. Retweet = This is the best thing I've ever read and I couldn't agree moreLondon, Englandphilpeople.org/profiles/giuli…Google Scholar page6 years on TwitterRecent tweets: 26% new, 27% replies, 41% retweets, 7% quotesOn 46 user lists1,754 followers",123
604,604.,"Thom Brooks@thom_brooksProf  of Law & Govt. Works on penal theory & ethics, citizenship & immigration, political & legal philosophy. Fabian & Labour  Party.Durham, UKthombrooks.infoGoogle Scholar page12 years on TwitterRecent tweets: 35% new, 13% replies, 35% retweets, 18% quotesOn 222 user lists29,907 followers",122
605,605.,"Dr Sophie Allen@sophie_r_allenPhilosophy  lecturer @KeelePhilosoph1 @KeeleUniversity Writes about Metaphysics, Philosophy of Science, Language & Mind. Thinks about lots more. Tweets mine etc.United Kingdom4 years on TwitterRecent tweets: 2% new, 7% replies, 91% retweets, 1% quotesOn 37 user lists3,327 followers",122
606,606.,"Karen Ng@karen_kyngPhilosophy  professor at Vanderbilt University. Writes about German idealism and ruthless critique. Author of Hegel’s Concept of Life https://t.co/hfSSFuV3UwNashville, TNkaren-ng.com1 year on TwitterRecent tweets: 29% new, 37% replies, 22% retweets, 12% quotesOn 22 user lists2,529 followers",122
607,607.,"Kate Devitt@skdevittPhD  philosophy (epistemology, cog sci, ethics) Rutgers. Chief Scientist Trusted Autonomous Systems. CEO BetterBeliefs. Adj. A/Prof Human-Centred  Computing, UQ.iPhone: -27.497580,153.019165tasdcrc.com.auGoogle Scholar page13 years on TwitterRecent tweets: 8% new, 25% replies, 48% retweets, 19% quotesOn 157 user lists2,513 followers",122
608,608.,"Michael David Kirchhoff@MdKirchhoffI'm  a philosopher working on: the free energy principle (active inference);  4E cognition; life-mind stuff; diachronic constitution; consciousness ...Wingellouow.academia.edu/MichaelKirchho…Google Scholar page2 years on TwitterRecent tweets: 16% new, 16% replies, 63% retweets, 6% quotesOn 31 user lists2,144 followers",122
609,609.,"Sandrine Berges@sandrineankaraAngry feminist philosopher. Autism parent. Historical zombie fiction writer #WIASNAnkarasandrineberges.comGoogle Scholar page12 years on TwitterRecent tweets: 42% new, 25% replies, 27% retweets, 6% quotesOn 36 user lists1,398 followers",122
610,610.,"Donovan Irven@DonovanIrvenPhilosopher,  Essayist, Writer of Fiction. Associate Editor, Analecta Hermeneutica. Senior Associate Fellow, International Institute of Hermeneuticsdonovanirven.substack.com10 years on TwitterRecent tweets: 22% new, 66% replies, 5% retweets, 7% quotesOn 30 user lists1,261 followers",122
611,611.,"Jon Pike@runthinkwrite@OU_Philosophy, Senior Lecturer in Philosophy. Political Philosophy, and the Ethics and Metaphysics of Sport. Co-convenor @OU_GCNHove UKopen.ac.uk/people/jep3410 years on TwitterRecent tweets: 7% new, 63% replies, 23% retweets, 8% quotesOn 79 user lists13,033 followers",121
612,612.,"Synthetic Future(s)@SynFuturesSynthetic  Future(s) is a multimedia arts project imagining the future philosophical & ethical implications of new technologies #philosophy #bioethics #art #tech9 years on TwitterRecent tweets: 46% new, 29% replies, 20% retweets, 4% quotesOn 268 user lists3,565 followers",121
613,613.,"Aline M. Ramos, PhD@alinemramosPhilosopher,  and not just your average Zelda Fitzgerald. Medievete™. Magistra philosophiae hic alicubi. (ea/eam) #medievaltwitter #philosophytwitterMontréal, Qc.sites.google.com/site/alinemram…14 years on TwitterRecent tweets: 25% new, 51% replies, 17% retweets, 7% quotesOn 50 user lists1,564 followers",121
614,614.,"ΔιάττωνΑστήρ@EikelandOlavPhilosopher  & Organization Researcher. PhD Ancient Greek philosophy, 1993. Professor of Education & Work Life Research, OsloMet. Personal tweetsOslo, Norway RTnotEndorsementhioa.academia.edu/OlavEikelandGoogle Scholar page8 years on TwitterRecent tweets: 63% new, 13% replies, 23% retweets, 1% quotesOn 59 user lists1,481 followers",121
615,615.,"Vanessa Bentley@pirateVShe/her.  Philosopher of science (neuroscience). Experiment, science & values, neuroethics, & feminist philosophy of science. University of  Central OklahomaEdmond, OK13 years on TwitterRecent tweets: 30% new, 15% replies, 53% retweets, 2% quotesOn 81 user lists1,026 followers",121
616,616.,"Nigel Hems@nigel_hemsLecturer in philosophy, publisher, researcher, co-editor of 'Bloomsbury Companion to Kant', likes reading fiction by new authorsEngland, United Kingdomindependent.academia.edu/NigelHems11 years on TwitterRecent tweets: 29% new, 9% replies, 43% retweets, 19% quotesOn 71 user lists24,664 followers (follows 0.88 accounts per follower)",120
617,617.,"Raphaël Millière@raphaelmillierePhilosopher of Cognitive Science & Artificial Intelligence @Columbia @columbiacss Past @UniofOxfordNew York Cityraphaelmilliere.comGoogle Scholar page5 years on TwitterRecent tweets: 6% new, 79% replies, 5% retweets, 8% quotesOn 81 user lists3,777 followers",120
618,618.,"Graham Oppy@OppyGrahamProfessor  of Philosophy at Monash University. Specialist in Philosophy of Religion. Main focus of research: arguments about the existence of God.Glen Waverleyprofiles.arts.monash.edu.au/graham-oppy/Google Scholar page8 years on TwitterRecent tweets: 63% new, 33% replies, 2% retweets, 2% quotesOn 53 user lists2,955 followers",120
619,619.,"Luna Dolezal@lunadolezalAssociate  Professor in Philosophy & Medical Humanities @UniofExeter @wcceh Phenomenology, Medical Humanities, Embodiment @shame_medicine & @itdfproject ProjectsExeter, Englandhumanities.exeter.ac.uk/history/staff/…Google Scholar page9 years on TwitterRecent tweets: 4% new, 3% replies, 92% retweets, 1% quotesOn 61 user lists2,172 followers",120
620,620.,"👖Denim on Denim Fan Account👖@FigNuisance@UofT_IHPST  PhD student. RA @UWO. Trust, phil of medicine, bioethics, crowdfunding ethics, ontology. Trail runner, powerlifter, baker. Here to talk about fruitthey/sheinstagram.com/forkinprogress/9 years on TwitterRecent tweets: 6% new, 70% replies, 9% retweets, 14% quotesOn 13 user lists1,286 followers",120
621,621.,"J.D. Blanchard, doctor of philosophy of philosophy@philoshuaA Twitter full of 𝖒𝖆𝖌𝖎𝖈. Send your replies to my tweets via the email address provided on my professional website.joshuablanchard.net2 years on TwitterRecent tweets: 18% new, 59% replies, 9% retweets, 13% quotesOn 13 user lists1,261 followers",120
622,622.,"Federica Russo@federicarussophilosopher and editor; interested in science, technology, policyrussofederica.wordpress.comGoogle Scholar page9 years on TwitterRecent tweets: 10% new, 61% replies, 9% retweets, 19% quotesOn 27 user lists1,211 followers",120
623,623.,"Robert Lepenies@RobertLepeniesProfessor  @karlshochschule #EconomicThought #Sustainability #Scicomm #SDGs #Water  #Philosophy #Nudging #Karlsruhe #Berlin #Firenze @GlobalYAcademy. Dad of 3.robertlepenies.comGoogle Scholar page7 years on TwitterRecent tweets: 16% new, 43% replies, 29% retweets, 12% quotesOn 133 user lists7,072 followers",119
624,624.,"Adam Hayden (he/him)@adamhaydenPhilosophy. Illness. Healthcare. Brain Cancer dx 2016. Fueled by Bay Area punk rock.Indianapolis, INglioblastology.com13 years on TwitterRecent tweets: 38% new, 45% replies, 14% retweets, 4% quotesOn 99 user lists5,266 followers",119
625,625.,"Maximilian Kiener@MaximilianKien2Leverhulme  Early Career Fellow in Philosophy @UniofOxford. Research Associate @EthicsInAI and @ERC_RoR. Working on #Consent, #Responsibility, and #AI.Oxford, Englandmaximilian-kiener.weebly.com3 years on TwitterRecent tweets: 8% new, 58% replies, 33% retweets, 1% quotesOn 19 user lists1,384 followers",119
626,626.,"Philippe Lemoine@phl43I'm  a PhD candidate in philosophy at Cornell. I'm also a research fellow at  @CSPICenterOrg. I write about stuff. 'At least he's pretty smart.' (@bechhof)Paris, Francenecpluribusimpar.net5 years on TwitterRecent tweets: 10% new, 59% replies, 15% retweets, 14% quotesOn 422 user lists33,863 followers",118
627,627.,"Kevin Vallier@kvallierpolitical philosophy/economy/theology, Gaus stan, next book on religious anti-liberalisms, esp. Catholic integralismBowling Green, OHkevinvallier.comGoogle Scholar page13 years on TwitterRecent tweets: 14% new, 67% replies, 11% retweets, 8% quotesOn 80 user lists3,858 followers",118
628,628.,"andrew rogers@philosophyteachAustralian  Teacher of the Year (sec non-gov) 2021. Teacher-Philosophy, Religion&Ethics. Husband,Father, Thinker, Bibliophile, P4C advocate Chair- @APIsinc ☕️ 🏃Perth, Western Australia 9 years on TwitterRecent tweets: 28% new, 55% replies, 7% retweets, 10% quotesOn 25 user lists2,560 followers",118
629,629.,"Baptiste Le Bihan@BaptisteLeBihanPhilosopher  of science (Ph.D., Priv.-Doz). University of Geneva. Working mainly on space, time and quantum gravity. Livre : Qu'est-ce que le temps ?University of Genevabaptistelebihan.orgGoogle Scholar page10 years on TwitterRecent tweets: 8% new, 53% replies, 33% retweets, 6% quotesOn 28 user lists1,449 followers",118
630,630.,"becca@boodleoopsreality adjacent12 years on TwitterRecent tweets: 17% new, 42% replies, 35% retweets, 6% quotesOn 199 user lists18,907 followers",117
631,631.,"Patrick Stokes@patstokesA/Prof  @DeakinPhilos. Talks/writes ABC radio @TheNewPhil, more. ½ @TheFakeMcCoys. Exasperates @jesspdoyle. DIGITAL SOULS (Bloomsbury): https://t.co/UGTg8u2XHQMelbourne & Weronapatrickstokes.comGoogle Scholar page13 years on TwitterRecent tweets: 9% new, 66% replies, 15% retweets, 10% quotesOn 125 user lists7,116 followers",117
632,632.,"Dan Fincke@CamelsHammersIndependent  online philosophy teacher, ethicist, atheist, prolific blogger, philosophical counselor, PhD. New Yorker living in France.Francepatheos.com/blogs/camelswi…9 years on Twitter until last tweet (2019-Jul-03)Recent tweets: 40% new, 10% replies, 50% retweets, 1% quotesOn 218 user lists4,386 followers",117
633,633.,"Matina Liosi@MatinaLiosiMedical Ethics & Law @UCL @uclcancerCaversham, Berkshire2 years on Twitter until last tweet (2020-Apr-23)Recent tweets: 24% new, 27% replies, 35% retweets, 14% quotesOn 21 user lists1,350 followers",117
634,634.,"Avery Kolers@avery_kolersProfessor  & Chair @UofLPhilosophy. Core faculty in PP&E and Health Care Ethics. Research mainly in Social-Political Philosophy & Ethics. Tweets my own.Louisville, KY, USAlouisville.edu/philosophy/Peo…Google Scholar page6 years on TwitterRecent tweets: 13% new, 23% replies, 47% retweets, 16% quotesOn 12 user lists1,025 followers",117
635,635.,"Pamela J. Hobart@amelapayphilosopher with a coaching practice for overthinky online ppl, New Yorker in Texas with 3 kids and a Miata.Austin, TXpamelajhobart.com13 years on TwitterRecent tweets: 13% new, 82% replies, 1% retweets, 4% quotesOn 249 user lists6,114 followers",116
636,636.,"IrishPhilosophy@IrishPhilosophyIrish Philosophy, history of Irish thought, philosophy in Ireland and related topics.Irelandirishphilosophy.com7 years on TwitterRecent tweets: 14% new, 17% replies, 57% retweets, 12% quotesOn 120 user lists4,121 followers",116
637,637.,"Samuel Paul Douglas@BeachPhilosophyPhilosopher of assorted areas. President @AusPsychedelic. Freelance writer. Opinions are my own & no one else's.Tuncurry, Australialinktr.ee/SamuelDouglasGoogle Scholar page7 years on TwitterRecent tweets: 13% new, 40% replies, 38% retweets, 10% quotesOn 84 user lists2,544 followers",116
638,638.,"Jonathan Fuller@JonathanJFullerPhilosopher of science/medicine, Pittsburgh HPS. Host, Philosophers on Medicine podcast: philosophersonmedicine.com. Deputy Ed., Philosophy of Medicine (he/him)Pittsburghjonathanfuller.caGoogle Scholar page8 years on TwitterRecent tweets: 12% new, 35% replies, 41% retweets, 12% quotesOn 34 user lists1,252 followers",116
639,639.,"Stephen Gadsby@stephen_gadsbyResearching  (ir)rationality, self-deception, eating disorders, imposter syndrome, body representation, delusions. @FWOVlaanderen postdoc. @cogphillab alumnus.Melbourne, Victoriastephengadsby.comGoogle Scholar page4 years on TwitterRecent tweets: 2% new, 27% replies, 62% retweets, 8% quotesOn 23 user lists1,210 followers",115
640,640.,"⊤@iamastrangeboolUC Irvine logic & philosophy of science PhD guy alt: @sad_boollands of the Acjachemen & Kizhtruegibson.com1 year on TwitterRecent tweets: 16% new, 73% replies, 7% retweets, 4% quotesOn 17 user lists1,717 followers",114
641,641.,"Alexandra Bradner@AlexBradnerPhilosopher of explanation and understanding, teacher, sometimes essayist, working momWesterville, OHkenyon.edu/directories/ca…Google Scholar page10 years on TwitterRecent tweets: 21% new, 5% replies, 73% retweets, 2% quotesOn 26 user lists1,545 followers",114
642,642.,"Peter West-Oram@PeterWestOramPolitical philosopher and bioethicist, working on global health ethics and justice. My own opinions. He/him.5 years on TwitterRecent tweets: 9% new, 19% replies, 64% retweets, 9% quotesOn 25 user lists1,237 followers",114
643,643.,"🐈‍⬛ Dan Hicks 🐈@danieljhicksphilosopher  turned data scientist turned philosopher. UC Merced. enviro policy, data science, philosophy of science, lefty stuff. they/themMerced, CAdhicks.github.ioGoogle Scholar page9 years on TwitterRecent tweets: 4% new, 33% replies, 58% retweets, 4% quotesOn 54 user lists1,150 followers",114
644,644.,"Tamler Sommers@tamlerthis would look nice on your wallHoustontamlersommers.comGoogle Scholar page12 years on TwitterRecent tweets: 15% new, 52% replies, 27% retweets, 6% quotesOn 143 user lists13,618 followers",113
645,645.,"Joel David Hamkins@JDHamkinsMathematics  and philosophy of the infinite. Professor of Philosophy and Mathematics. @NotreDame @UniofOxford #ProofandtheArt #PhilMathsUniversity of Notre Damejdh.hamkins.orgGoogle Scholar pageVideo channel6 years on TwitterRecent tweets: 16% new, 82% replies, 1% retweets, 0% quotesOn 201 user lists12,912 followers",113
646,646.,"Matthew Noah Smith@MattNoahSmithAssoc Prof Northeastern University Philosophy // new book here: manchesteruniversitypress.co.uk/9781526143372/Boston, MAmatthewnoahsmith.netGoogle Scholar page6 years on TwitterRecent tweets: 13% new, 77% replies, 5% retweets, 4% quotesOn 24 user lists1,811 followers",113
647,647.,"Tateshi@d_tateshiProfessing of philosophy. Nietzsche, Marx, Freud, political, socialism.USA1 year on TwitterRecent tweets: 37% new, 63% replies, 1% retweets, 0% quotesOn 9 user lists1,208 followers",113
648,648.,"David Vanegas@evolanguagemindPhilosophy,  Psychology, & Neuroscience. • Working on mental and neural representations in cognitive science, neuroscience, and 4E cognition.ColombiaGoogle Scholar page4 years on TwitterRecent tweets: 6% new, 46% replies, 35% retweets, 12% quotesOn 29 user lists1,201 followers",113
649,649.,"Daniel J. Nicholson@NicholsonHPBioHistory, Philosophy, & Theory of Biology • Assistant Professor @GMUPhil • Book Reviews Editor @HPLSjournalFairfax, VAgmu.academia.edu/DanielNicholsonGoogle Scholar page4 years on TwitterRecent tweets: 3% new, 67% replies, 21% retweets, 8% quotesOn 40 user lists1,696 followers",112
650,650.,"Peter-Paul Verbeek@ppverbeekPhilosophy  & Ethics of Technology | Human-Technology Relations | Responsible Design | Mediation Theory | DesignLab | Univ of Twente | Aalborg U | UNESCO COMESTEnschede, The Netherlandsppverbeek.nlGoogle Scholar page11 years on TwitterRecent tweets: 15% new, 30% replies, 50% retweets, 5% quotesOn 188 user lists7,409 followers",111
651,651.,"Basque Philosopher@BasqPhilosopherreturning to nature9 years on TwitterRecent tweets: 44% new, 41% replies, 11% retweets, 4% quotesOn 52 user lists1,445 followers",111
652,652.,"Thomas Gregersen@PoliticalPhiloPolitical Philosophy, Human Rights, Political Liberalism, John Rawls, Jürgen Habermas; https://t.co/NfLswb4O5ZCopenhagen, Denmarkhabermas-rawls.blogspot.com12 years on TwitterRecent tweets: 39% new, 12% replies, 46% retweets, 3% quotesOn 234 user lists3,751 followers",110
653,653.,"Pilar Herraiz@pilicaPhD in Philosophy. Medievalist, Averroist, part-time Latinist. Tweets in English and Spanish.Hellín, Spainpiluky.blogspot.com14 years on TwitterRecent tweets: 18% new, 65% replies, 16% retweets, 2% quotesOn 104 user lists2,304 followers",110
654,654.,"Kylo is on a break@kylothomasphd  kid researching systemic racism & white supremacy in HE STEM @stsucl. MH advocate. surf rat. kiss me like you really believe trans lives matter. they/themIstanbul, London, Your Placekylothomas.com12 years on TwitterRecent tweets: 17% new, 50% replies, 32% retweets, 2% quotesOn 49 user lists1,641 followers",110
